Lexema | Simbolo
------------------------------
% | CARACTER_ESPECIAL
teste | IDENTIFICADOR
3 | NUMERO
programa | sprograma
leitura | IDENTIFICADOR
var | svar
x | IDENTIFICADOR
r | IDENTIFICADOR
booleano | sbooleano
a | IDENTIFICADOR
b | IDENTIFICADOR
booleano | sbooleano
procedimento | sprocedimento
ver | IDENTIFICADOR
var | svar
i | IDENTIFICADOR
inteiro | sinteiro
inicio | IDENTIFICADOR
i | IDENTIFICADOR
= | sig
0 | NUMERO
enquanto | senquanto
a | IDENTIFICADOR
faca | sfaca
inicio | IDENTIFICADOR
i | IDENTIFICADOR
= | sig
1 | NUMERO
1 | NUMERO
se | sse
i | IDENTIFICADOR
= | sig
2 | NUMERO
entao | sentao
a | IDENTIFICADOR
= | sig
b | IDENTIFICADOR
fim | sfim
fim | sfim
inicio | IDENTIFICADOR
x | IDENTIFICADOR
= | sig
verdadeiro | sverdadeiro
y | IDENTIFICADOR
= | sig
falso | sfalso
ver | IDENTIFICADOR
fim | sfim
/ | CARACTER_ESPECIAL
